# Residuals   
# Time        	rhoIon        	UIonx         	UIony         	UIonz         
1e-08         	6.745264e-04	1.000000e+00	1.000000e+00	1.000000e+00
2.4985e-08    	1.408732e-03	5.221928e-02	6.605975e-02	8.163151e-01
4.7395e-08    	2.614119e-03	5.913507e-02	2.127058e-02	8.384507e-01
8.08585e-08   	4.837506e-03	2.939908e-02	2.932274e-02	8.818149e-01
1.31054e-07   	9.102867e-03	4.285174e-02	4.317511e-02	9.157268e-01
1.81249e-07   	1.156144e-02	4.289993e-02	4.326683e-02	9.157607e-01
2.31444e-07   	1.405494e-02	4.299816e-02	4.343070e-02	9.158378e-01
2.8164e-07    	1.647770e-02	4.310073e-02	4.359391e-02	9.159545e-01
3.26577e-07   	1.679748e-02	3.886966e-02	3.938006e-02	9.079396e-01
3.66865e-07   	1.649337e-02	3.508310e-02	3.559433e-02	8.992989e-01
4.03061e-07   	1.601004e-02	3.170651e-02	3.220590e-02	8.900556e-01
4.35434e-07   	1.514364e-02	2.851274e-02	2.899616e-02	8.795323e-01
4.64508e-07   	1.422419e-02	2.573467e-02	2.619607e-02	8.685031e-01
4.90574e-07   	1.329205e-02	2.317071e-02	2.360648e-02	8.563313e-01
5.13938e-07   	1.225874e-02	2.085787e-02	2.126559e-02	8.431104e-01
5.37303e-07   	1.257090e-02	2.090359e-02	2.132029e-02	8.432190e-01
5.60668e-07   	1.291785e-02	2.094743e-02	2.137937e-02	8.433100e-01
5.84033e-07   	1.322196e-02	2.099914e-02	2.144880e-02	8.433835e-01
6.05062e-07   	1.213588e-02	1.899166e-02	1.941981e-02	8.295974e-01
6.2609e-07    	1.238491e-02	1.904431e-02	1.949322e-02	8.296246e-01
6.47118e-07   	1.261845e-02	1.910949e-02	1.958098e-02	8.296267e-01
6.68147e-07   	1.278299e-02	1.916176e-02	1.965346e-02	8.296028e-01
6.89175e-07   	1.298786e-02	1.922982e-02	1.974183e-02	8.295510e-01
7.08082e-07   	1.188649e-02	1.739221e-02	1.787525e-02	8.144590e-01
7.2699e-07    	1.202666e-02	1.746054e-02	1.795306e-02	8.143497e-01
7.45897e-07   	1.215558e-02	1.752020e-02	1.804710e-02	8.142091e-01
7.64804e-07   	1.231414e-02	1.760178e-02	1.814216e-02	8.140383e-01
7.83711e-07   	1.246373e-02	1.770060e-02	1.826718e-02	8.138355e-01
8.02618e-07   	1.256430e-02	1.783211e-02	1.843182e-02	8.135992e-01
8.21525e-07   	1.269997e-02	1.795234e-02	1.857504e-02	8.133266e-01
8.40432e-07   	1.285085e-02	1.810229e-02	1.872728e-02	8.130159e-01
8.5741e-07    	1.163001e-02	1.644724e-02	1.701976e-02	7.962623e-01
8.74388e-07   	1.170849e-02	1.658198e-02	1.718261e-02	7.958914e-01
8.91366e-07   	1.181325e-02	1.672748e-02	1.734109e-02	7.954860e-01
9.08344e-07   	1.191894e-02	1.690391e-02	1.755515e-02	7.950435e-01
9.25321e-07   	1.198042e-02	1.714235e-02	1.779070e-02	7.945669e-01
9.42299e-07   	1.205963e-02	1.737291e-02	1.799790e-02	7.940533e-01
9.59277e-07   	1.215295e-02	1.764637e-02	1.826848e-02	7.935033e-01
9.76255e-07   	1.224247e-02	1.797810e-02	1.853748e-02	7.929124e-01
9.93233e-07   	1.228749e-02	1.817089e-02	1.879066e-02	7.922825e-01
1.01021e-06   	1.236540e-02	1.841831e-02	1.915038e-02	7.916106e-01
1.02719e-06   	1.245543e-02	1.863042e-02	1.949487e-02	7.909002e-01
1.04417e-06   	1.251791e-02	1.890141e-02	1.985081e-02	7.901479e-01
1.06114e-06   	1.256318e-02	1.911290e-02	2.015569e-02	7.893514e-01
1.07812e-06   	1.264207e-02	1.939856e-02	2.050197e-02	7.885093e-01
1.0951e-06    	1.271630e-02	1.981968e-02	2.091971e-02	7.876306e-01
1.11035e-06   	1.145305e-02	1.824958e-02	1.923818e-02	7.686921e-01
1.12561e-06   	1.150170e-02	1.842947e-02	1.953437e-02	7.677977e-01
1.14086e-06   	1.156066e-02	1.874612e-02	1.983383e-02	7.668768e-01
1.15611e-06   	1.161555e-02	1.900483e-02	2.006595e-02	7.659357e-01
1.17137e-06   	1.163465e-02	1.925284e-02	2.048870e-02	7.649826e-01
1.18662e-06   	1.167789e-02	1.943682e-02	2.089081e-02	7.640216e-01
1.20187e-06   	1.173179e-02	1.959275e-02	2.108420e-02	7.630556e-01
